Title,Speaker,Speech
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, Senator, I think the intelligence or the information that you’re asking about is the much discussed Norfolk SIR, or situational information report. I didn’t see that report, which was raw unverified intelligence until some number of days after the sixth. But again, that raw unverified information was passed within, I think, 40 minutes to an hour, to our partners, including the Capitol police, including Metro PD, in not one, not two, but three different ways: one email, one verbal, and one through the law enforcement portal."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"As to why the information didn’t flow to all the people within the various departments that they would prefer, I don’t have a good answer for that. I will tell you the Capitol police and Metro PD are terrific partners to the FBI, especially our Washington field office. I’m grateful for their partnership, and have nothing but admiration for the hard work and courage and professionalism of the men and women who work in both of those agencies."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 8,"Thank you, Senator."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Feinstein,Thank you. Thank you for your good work. It’s appreciated.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 8,Senator Cornyn?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cornyn,"Director Ray, after the events of 9/11, I think it was Admiral Bobby Inman who coined the phrase “a failure of imagination,” that we just couldn’t conceive of the idea that something like what happened on 9/11 would occur, but that was a failure to imagine it. And it strikes me that the events of January the sixth share something in common with 9/11 in the sense that seemed like there was a failure of imagination. That’s not to point the finger at any one body to blame, but merely to try to describe what I think may have occurred. So I think you’ve told us that these extremists are not monolithic. Is that correct?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,That’s correct.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cornyn,"Well, I’ve heard the expression that here in Washington, whoever has the best narrative wins. And so sometimes, I think the narrative is created and then try to search for facts that might bolster that narrative. But as you said, the fact is there, these extremist groups are not monolithic. So that’s, I think, an important part of understanding the threat. I’ve heard them described as, some of these folks described as, white supremacists, domestic terrorists, insurrectionists, rioters, seditious, anarchists, the list goes on and on. But I note that you said there is no federal crime described as domestic terrorism per se, correct?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,That’s correct.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cornyn,"And as I look at the range of charges that the FBI and the department of justice have made against the people that have been investigated for the events of January the sixth, I read a list of assaulting federal officers, tampering with documents or proceedings, unlawful entry, disorderly conduct, conspiracy, theft of government property. Do you think the current laws are adequate to deal with this threat? It strikes me that these are a lot of different tools that are available, but don’t really get to the whole heart of domestic terrorism."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, I guess I’d say a couple of things in response to that. It’s of course, a very good question. I think number one, our folks, which is one of the things I love about the men and women of the FBI have proven time and again, that they will work with the tools they have and they are resourceful and entrepreneurial, and we’ve had remarkably good success at disrupting attacks using the tools that we have. Sometimes those tools, and some of the offenses that you listed off, have the virtue of being quite simple and straightforward to prove. And so sometimes that’s actually a blessing, but certainly I think you would be hard pressed to find any FBI director that wouldn’t welcome more tools in the toolbox."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cornyn,"Fair enough. Well, getting back to this narrative about who was involved on January the sixth, there was a helpful report from the George Washington University program on extremism that looked at about 257 federal defendants as a result of the events of January the sixth, they noted that 142 of those 257 defendants, they referred to as “inspired believers.” They said they were… they concluded they were neither participants in any violent extremist group nor connected with any individual who stormed the capital. Again, I guess, bears out your conclusion, your statement that this is not a monolithic group again."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So, I think you’ve touched on two very important points there. One is both with domestic violent extremists, and frankly, with what we call the homegrown violent extremists worth, which are the jihadist-inspired. The difference between inspired terrorist attacks over here, and domestic… and sorry, directed or facilitated in a more structured formal way is something that I think a lot of Americans struggle with understanding, and more and more the threat that we face as a country is what I would call the inspired attacks. They don’t have formal membership in an organization. They don’t have clear command and controlled direction in the way that, say, an Al-Qaeda sleeper cell might have. And that’s that much more challenging to pursue, A, because there are fewer dots to connect, you know the old expression about dots to connect. B, less time in which to connect whatever dots there are."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"And then, then you add into it C, the first amendment dimensions of people’s inspirations and ideology. And then the last point I would make is that we have these, as I said before, increasingly blended ideologies. So for example, in Senator Klobuchar’s state in Minnesota, we had two individuals who were… identified themselves as so-called Boogaloo Boys, which people tend to put in one bucket. And yet what they ultimately were charged with was trying to provide materiel support, as in weapons, to Hamas. And these are not things that neatly fit together in anybody’s worldview. So, it just illustrates… one example, but it illustrates the challenge that we’re dealing with."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cornyn,"It’s FBI’s responsibility to deal with counterintelligence investigations, correct?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,Yes.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cornyn,"And these include things like active measures that we saw used, for example, in 2016, for example, advertising on Facebook, two competing groups to show up at the same time and hoping that conflict and maybe even violence would break out. Is it true that our foreign adversaries use the events of January the sixth as a field day in terms of their attempt to establish false personas, fabricate stories on social media platforms, with an intent to discredit the United States and its institutions?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Certainly, we have seen, and I’ll keep it at an unclassified level in this setting, but foreign adversaries, a number of them leveraging the events of January 6th to amplify their own narratives, to try to push out propaganda misinformation, to try to, in their view, accelerate what they think of as the United States has declined."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Cornyn,Thank you.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 8,"Thanks Senator Cornyn, Senator Whitehouse."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"Thank you. Director Ray, welcome. Before we get to the business of this hearing, we’ve got some, in fact, a lot of unfinished business. Do you know how many questions, for the record, the FBI failed to answer in the last four years?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,I do not.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"Well, I’ll tell you. There were nine hearings in this committee in which the FBI was a witness, and in seven of them, the committee got exactly zero questions for the record. Seven. Zero questions. Can you explain that?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"I cannot, I will say-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"Are you going to do any better with the questions that we’re getting right now? You’ve been asked questions for the record. Are they going to go into the same, whatever-it-was hole where questions for the record go to die at the FBI?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, Senator, first thing I would say about questions for the record is, that as you may know, there is an elaborate inter-agency process that requires that answers that we provide-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"Yeah, which is immensely convenient for the executive branch. But our questions don’t direct that inter-agency process, do they? And that inter-agency process doesn’t respond to us in Congress, does it?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,We’re required to comply with the inter-agency process to provide our responses to questions for the record.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,By what?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Now, having said that, having said that-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,By what are you required to comply with that inter-agency process?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,I can’t cite you the reg or the rule.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"Because it seems to me that when the FBI wanted to get information to this committee, particularly when it wanted to get information to Republican members of this committee, so they could investigate your investigation of the Trump-Russia connection, that information got right through to our Republican colleagues."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"It didn’t go… didn’t seem to go through any inter-agency process. It wasn’t delayed. What we seem to have is for most of us, but this was bipartisan, by the way, when I say we got zero questions for the record answered from those hearings, I mean zero questions of any member of this committee, not zero Democratic members answered, okay? So you’ve got this basic highway for responses to Congress. Let me ask you, just a little sidebar, do you think Congress deserves responses to questions from executive agencies as part of our oversight responsibility?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Yes, absolutely."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"Okay, good. So we’re at least over that hurdle. So we’ve run this rigmarole with the inter-agency process in which we don’t get answers. Some of these go back to 2017, by the way, that’s years of not getting our questions answered. And then, when it’s a question that’s suddenly of interest to one party and to President Trump, there seems to be a little side road that gets built around the traffic jam and stuff just flies right through. So please don’t tell me about inter-agency process, when I’ve been sitting in this committee, watching FBI information get straight to this committee without inter-agency process. What are we going to do about this? Is this a problem?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"So Senator, let me say first, as I said that I absolutely agree with you that Congress needs answers to its questions. I am frustrated as well at the process. I have added more staff, and my understanding is that when it comes to correspondence, for example, which doesn’t require the same inter-agency process, that we have significantly reduced the backlog and the turnaround time, but there’s no question in my mind-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,We had-
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,No question in my mind-
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"eight letters go unanswered, the oldest one dated March of 2017. So if you think your process is working, we’re not seeing it on our end."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, I will commit to you that I will do what I can to improve the process. I am frustrated as you are, and we have, obviously we need to get better."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"Well, I will commit to you that I’m going to make sure that this gets done. And if it means stopping nominees, if it means doing whatever it takes to get through this problem, we’re going to get through this problem because it is just plain wrong for the executive branch of government, in a separation of powers country, to refuse to answer questions of the elected representatives of the legislative branch. It’s just wrong, and however many excuses and however much rigmarole the executive branch may set up to slow down those answers, I don’t care. That’s your executive branch rigmarole. That is not a legitimate answer to a legislator’s question. And I got stuff that’s now backed up for years. Now, the courts have said that they’re not… they don’t want to intervene in enforcing our subpoenas."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"I’m not sure we can get subpoenas in a 50-50 committee, but assume we could, the courts have said they don’t want to enforce it. So you guys can put our subpoenas in the same file with our letters and our QFRs and not answer them. And then what happens is, the courts have said, the way we resolve this, is we got to hit you legislatively. The court said we should hold up appropriations for the FBI and for executive agencies that aren’t responsive. That’s our tool. Your people do good work, Director Ray. I don’t think you want that to be our tool, but you can’t be in a situation in which you don’t answer our questions, you create rigmarole log jams, and when there’s a political interest in getting information out to the committee, suddenly none of that rigmarole pertains. Suddenly everybody gets their hands on all the information that they need just as soon as they need it. And by the way, I believe on a partisan basis, not shared with both sides of the committee."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"So before we get to clearing up whatever else we need to get cleared up, all the stuff that’s backed up behind our questions, we got to get through the problem of why you’re not answering our questions. And we’ve got to clear that up. And I don’t know how we clear that up. I think we clear it up, Mr. Chairman, in a bipartisan fashion, because I think both sides should get this, but this business of years going by, of hearings in which zero QFRs get answered, and letters that get thrown off into the don’t-care-to-answer-that-one pile. Woodrow Wilson once said that the oversight function, the investigative function of Congress, is often to be preferred even to its legislative function. We got to get that back, and I’m going to find a way with this committee and with you to clear the backlog. I don’t think you think that I should give up on questions because I’ve been stonewalled for years. If I’ve asked them and they deserve answers, they should be answered. Is that correct?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,Yes.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,Okay. My time is up. We’ll leave it at that.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Mr. Chairman, if I just may add with your indulgence, one point? Senator, I commit to working with you to try and see how we can improve our responsiveness and to getting you more of the information you need. The one thing I will say is that I can assure you that in terms of my responsiveness to this committee, to the members of this committee, or to Congress overall, it is absolutely not, speaking only for myself, now, on a partisan basis."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Whitehouse,"Well, you run an organization that seems to have operated under very different rules and it was you running that organization. So let’s not make these distinctions right now."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 8,"Thank you, Senator, Senator Lee."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"Thank you, Mr. Chairman. Thanks, Director Ray, for being here and for your service to our country. Like literally every other person in this room, like literally every member of the United States Senate, I’m anxious to see those who committed unlawful violent acts on January 6th brought to justice. I also believe that with this circumstance, like every other circumstance, we have to make sure that the civil liberties of the American people are protected, that we watch over them. I’ve heard a number of accounts of individuals who were present in Washington, DC, but never got anywhere near the Capitol or any violence on January 6th, who have inexplicably been contacted by the FBI, by agents who apparently were aware of their presence in Washington, DC, that day with no other explanation, perhaps other than the use of geolocation data. Were you geolocating people through the FBI based on where they were on January 6th?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"I think there may be some instances in which geolocation has been an investigative tool, but I can’t speak to any specific situation."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,What are you using to do that? What’s your basis for authority? Are you using national security letters?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"I don’t believe, in any instance, we’re using national security letters for-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,Are you going through FISA court?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,investigation of the Capital.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,Are you going-
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,I don’t believe FISA is remotely implicated in our investigation.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,Are you using warrants predicated on probable cause?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,We certainly have executed a number of warrants in the course of the investigation of January 6th. All of our investigative work in response to the capital has been under the legal authorities that we have in consultation with the department and the prosecutors at that point.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"No, I understand that. I’m just trying to understand how you’re getting it. So is the FBI accessing a cell phone tower metadata from telecommunications companies? Is that where it’s coming from?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Again, without knowing the specifics, without being able to drill into the specifics, it’s hard for me to answer your question in a way that I think you would find satisfying."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"Are there instances in which you’re interviewing people based solely on information derived from a telecommunications provider, providing geolocation information, indicating that they were on or near the national monument mall on January 6th?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"With respect, Senator, because this is a massive nationwide investigation involving thousands and thousands of interviews, it’s very hard for me to speak with any absolute confidence as to whether there’s any interview predicated on any one specific-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"Oh, I understand that. I understand that. And I certainly wouldn’t expect you to be aware of every circumstance. I would, though, like to know whether you’re doing that at all, whether that is ever a basis for it. I would appreciate if you could answer that, if you’re not aware of it right now, that’s great, but if you could let me know sometime today, tomorrow that’d be great. I’m sure there’s someone who can provide a yes or no answer to that question."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"Over the years I’ve raised a number of questions. And it’s one of the things that prompted my question here about FISA, and related questions, just about the collection of metadata from communications providers and so forth. Over the years, and by over the years, I mean, literally over the last 10 years, the entire 10 years I’ve served as a member of this committee and as a member of the United States Senate, I’ve been told fairly consistent answers under different FBI directors and different presidential administrations run by different parties. But the most consistent theme in those answers has been, “Just trust us. Don’t worry. We’ve got good people, smart people, law abiding people who were running this, and we’ve got procedural safeguards in place to prevent the type of abuse that you’re concerned about.”"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"Now, Inspector General Horowitz issued a report in 2019 regarding crossfire hurricane and through a subsequent memorandum dealing with Woods file issues that really helped prove my point. At the time, in response to those concerns, you issued statements suggesting that you would take concrete actions to make sure that these things were changed. Could you tell me what some of those actions are? Have you taken the actions you referred to in response to Horowitz’s report and his subsequent memo on the Woods file issues?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Yes, Senator, I welcome the question. So first off, as you may know, we accepted all of the findings and recommendations in the Inspector General’s report. I ordered, at the time, over 40 corrective actions to go above and beyond the recommendations of the Inspector General’s report, and those have been implemented. Those include everything from strengthening our procedures to ensure accuracy and completeness, to make sure the court gets all the information it’s supposed to, changes in our protocols for CHS, confidential human sources, training changes. I created a new office of internal audit that specifically focused on FISA auditing. There’s a whole number of things I’d be happy to walk through, but I recognize that our time is limited, so you tell me how much [crosstalk 01:33:16]"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"No, I appreciate that. And I appreciate anything that you’ve done within the agency to do that. I hope you can understand my concern, which is that we’ve been told over and over again, we already have strong procedures in place internally. Those strong procedures, apparently haven’t over the last 10 years proven enough. So my view is that, in addition to anything that you may be doing, that may well be helpful. And I appreciate that you’re doing that’s helpful. We probably ought to have some statutory restrictions as well, so that it’s not the FBI and the FBI alone acting solely upon the FBI’s internal guidance documents from which the FBI could, of course, choose to depart at any moment."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"I’d love to see reforms in this area and in particular, to protect the civil liberties of the American people. I think we need some reforms to our domestic surveillance tools, including things like FISA, that would apply to strengthening at the amicus provisions of the FISA court, requiring the FBI to disclose all material exculpatory evidence that’s presented to the FISA court, no less important here than in an Article III court sitting in its capacity of adjudicating criminal cases."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"In fact, if anything, it’s more important here because in the FISA context, it’s not public. Increasing the standard for warrants under Section 215 to require a probable cause and requiring a probable cause warrant to obtain internet search history, internet browsing, history, and geolocation information. Are those reforms that you’d be willing to support?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, Senator I’d be happy to work with you to provide operational assessment of the impact of different legislative ideas. Certainly we view our responsibility as not just to protect the American people, but also to uphold the Constitution, and we say that every day in the FBI. Certainly, I would want to make sure that any legislative changes to FISA didn’t have unintended, very damaging impact on everything from our sharing of information with our foreign partners, our intelligence community partners, that we didn’t elevate the standard in FISA above the level of what we could get, for example, in an ordinary criminal case, things like that, but we’d be happy to engage with you on the subject."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"Mr. Chairman, my time’s expired. Can I add one sentence to the end just to complete the thought? Thank you for your willingness there. We have been told over the last 10 years since I’ve been here, “We will work with you.” “We will work with you” has translated into opposition from inside the FBI every single time we’ve tried to bring about one of those reforms. Every time, as sure as the sun will come up-"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Lee,"… Reforms. Every time, as sure as the sun will come up in the east tomorrow, we’ve been told by the FBI, “You can’t do that. Don’t worry. We’ve got it with our own internal controls.” I hope you’ll be sympathetic to me this time around, recognizing that I’ve been told that over and over and over again. And we’re not going to accept that answer anymore. Thank you."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Chairman Durbin,"Thank you, Senator Lee. Senator Klobuchar."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,"Thank you very much, Mr. Chair. Welcome, Director Way. You and I have talked many times and I appreciate the work of your agents in Minnesota, whether it’s investigating buildings that have been attacked and burned, or whether it is the work that your agents did in investigating the bombing of a mosque in Minnesota which resulted in indictments and conviction. So I thank you for that."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,So last week I chaired a joint hearing of the rules and Homeland Security committees on what happened on January 6th. We’re having another joint hearing with Homeland Security tomorrow. Several members of this committee participated in that. And I want to start out with something that became an issue in the hearing really because of one member’s questions.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,Our witnesses all agreed that there is no clear evidence that supports a conclusion that this insurrection was planned and a coordinated attack on the Capitol that white supremacists and extremists groups were involved. And that what happened would have been much more dangerous if not for the brave actions of law enforcement. Would you agree with that?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Certainly, there were aspects of it that were planned in coordinated, but yes."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,"Mm-hmm (affirmative). Well, there was a… I just noted that just today, a reporting in the Washington Post, that on Monday, a complaint was filed against a member of the Proud Boys in Washington State, where federal prosecutors alleged that in fact there was plans made for many different entries into the Capitol. Is that correct?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Yes. There have been a growing number of charges as we continue to build out the investigation, either individuals who are now starting to get arrested, involving charges that involve more things like planning and coordination, or, in some instances, individuals who were charged with more simple offenses, but now we’re superseding as we build out more of an understanding of what people were involved in. And there were clearly some individuals involved, which I would consider the most dangerous, most serious cases among the group, who did have plans and intentions and some level of coordination."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,And I think you’ve arrested now 20 members of that group or filed. Is that right [inaudible 01:38:46]?
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,I don’t know the number off the top of my head.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,"And so what I was thinking when Senator Graham was talking is that if, and they show up, we now know in this complaint with encrypted two-way Chinese radios in military gear, that there must be moments where you think, “If we would’ve known, if we could have infiltrated this group or found out what they were doing.” Do have those moments?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Absolutely. I will tell you Senator, and this is something I feel passionately about, that anytime there’s an attack, our standard at the FBI is we aim to bat a thousand, right? And we aim to with sword every attack that’s out there. So anytime there’s an attack, especially one that’s this horrific, that strikes right at the heart of our system of government, right at the time of transfer of power is being discussed, you can be darn tooting that we are focused very, very hard on how can we get better sources, better information, better analysis, so that we can make sure that something like what happened on January 6th never happens again."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,"Okay. There’ve been a lot of discussion about this Norfolk memo that arrived, as you noted, with key people in the Capitol police and others the night before they testified last week, the chief that he didn’t even know about it until the few days before our hearing. And in fact, while there may be some that downplays that intelligence, I will know while we don’t have the memo publicly that in that memo, there were statements that Congress needs to hear the glass breaking doors being kicked up, blood being spilled, “We get our president or we die.” “Go there ready for war.”"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,"Some of the specific calls for violence that we know were posted at that time. We know that President Trump had called on people to go there on January 6th. We know that he told them to go wild. We know that in that memo, there was discussions of, as reported in the news, perimeter maps, bringing back the wounded."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,"And to me, it just seems like it’s beyond aspirational in nature, that it seems like some of these reports that we now know exist out there were specific in terms of these plans that were going on. One of my questions that we will continue to be asking as part of this investigation we’re doing with the Rules Committee and Homeland security is how can we change this so this never happens again so these types of threats and this type of information gets to the right people? Do you have any response on that?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"Well, as I said, in connection with the particular report that you’re referring to the Norfolk, SIR, as they call it, we did communicate that information in a timely fashion to the Capitol police and MPD in not one, not two, but three different ways."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Senator Klobuchar.,If you think it’s enough just to send an email.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Hon. Christoper A. Wray,"But it’s more than just an email, right? So first off, the email itself went to, I think there are maybe as five Capitol police task force officers on the joint terrorism task force. And the whole point of the joint terrorism task force is for the chosen representatives of the partner agency to be there in the loop, real-time so that everybody’s got the same information so that each agency can use that information to do what it needs to do."
